NM_001180043.1	YAL068C
NM_001179079.3	YER189W
NM_001179080.3	YER190W
NM_001184590.1	YER190C-B
NM_001179899.1	YFL068W
NM_001179900.1	YFL067W
NM_001179901.1	YFL066C
NM_001179902.1	YFL065C
NM_001179903.1	YFL064C
NM_001179905.1	YFL062W
NM_001179906.1	YFL061W
NM_001179907.1	YFL060C
NM_001179908.1	YFL059W
NM_001179909.1	YFL058W
unassigned_transcript_81	YFL056C
NM_001179912.1	YFL055W
NM_001179913.1	YFL054C
NM_001179914.1	YFL053W
NM_001179915.1	YFL052W
NM_001179916.1	YFL051C
NM_001179917.1	YFL050C
NM_001179918.1	YFL049W
NM_001179919.1	YFL048C
NM_001179920.1	YFL047W
NM_001179921.1	YFL046W
NM_001179922.1	YFL045C
NM_001179923.1	YFL044C
NM_001179924.1	YFL042C
NM_001184549.1	YFL041W-A
NM_001179925.1	YFL041W
NM_001179926.1	YFL040W
NM_001179927.1	YFL039C
NM_001179928.1	YFL038C
NM_001179929.1	YFL037W
NR_132172.1	YNCF0001C
NM_001179930.1	YFL036W
NM_001179931.1	YFL034C-B
NM_001184310.1	YFL034C-A
NM_001179932.2	YFL034W
NM_001179933.1	YFL033C
NM_001179935.1	YFL031W
NM_001179936.1	YFL030W
NM_001179937.1	YFL029C
NM_001179938.1	YFL028C
NM_001179939.1	YFL027C
NM_001179940.2	YFL026W
NM_001179941.1	YFL025C
NM_001179942.1	YFL024C
NM_001179943.1	YFL023W
NM_001179944.2	YFL022C
NM_001179945.1	YFL021W
NM_001179946.1	YFL020C
NM_001348831.1	YFL019C
unassigned_transcript_82	YNCF0002W
NM_001179948.1	YFL018C
NM_001180864.1	YFL017W-A
NM_001179949.1	YFL017C
NM_001179950.1	YFL016C
NM_001348832.1	YFL015C
NM_001179952.1	YFL014W
NM_001179953.1	YFL013C
NM_001179954.1	YFL012W
NM_001179955.1	YFL011W
NM_001180024.1	YFL010W-A
NM_001179956.1	YFL010C
NM_001179957.1	YFL009W
NM_001179958.1	YFL008W
NM_001179959.1	YFL007W
NM_001179961.1	YFL005W
NR_132173.1	YNCF0003C
NM_001179962.1	YFL004W
NM_001179963.1	YFL003C
unassigned_transcript_83	YNCF0004C
NM_001180862.2	YFL002W-A
NM_001184430.1	YFL002W-B
NM_001179964.1	YFL002C
NM_001179965.1	YFL001W
NM_001179966.1	YFR001W
NM_001179967.1	YFR002W
NM_001179968.1	YFR003C
NM_001179969.1	YFR004W
NM_001179970.1	YFR005C
NM_001179971.1	YFR006W
unassigned_transcript_84	YNCF0005C
NM_001179972.1	YFR007W
NM_001179973.1	YFR008W
unassigned_transcript_85	YNCF0006W
NM_001179974.1	YFR009W
NM_001179975.1	YFR010W
NM_001179976.1	YFR011C
unassigned_transcript_86	YNCF0007W
NM_001179977.1	YFR012W
NM_001184472.1	YFR012W-A
NM_001179978.1	YFR013W
NM_001179979.2	YFR014C
NM_001179980.1	YFR015C
NM_001179981.1	YFR016C
unassigned_transcript_87	YNCF0008C
NM_001179982.1	YFR017C
NM_001179983.1	YFR018C
NM_001179984.2	YFR019W
unassigned_transcript_88	YNCF0009C
NM_001270745.1	YFR020W
NM_001179986.1	YFR021W
NM_001179987.3	YFR022W
NR_132174.1	YNCF0010C
NM_001179988.1	YFR023W
NM_001180865.3	YFR024C-A
NM_001179990.1	YFR025C
unassigned_transcript_89	YNCF0011C
NM_001179991.3	YFR026C
NM_001179992.1	YFR027W
NM_001179993.3	YFR028C
unassigned_transcript_90	YNCF0012C
NM_001179994.1	YFR029W
NM_001179995.3	YFR030W
NM_001179996.2	YFR031C
NM_001180030.3	YFR031C-A
NR_132175.1	YNCF0013W
NM_001179997.1	YFR032C
NM_001184311.3	YFR032C-A
NM_001184591.1	YFR032C-B
NM_001179998.3	YFR033C
NM_001179999.1	YFR034C
NM_001180000.3	YFR035C
NM_001431138.1	YFR035W-A
unassigned_transcript_91	YNCF0014C
NM_001180001.1	YFR036W
NM_001180002.3	YFR037C
NM_001180003.1	YFR038W
NM_001180004.3	YFR039C
NM_001180005.2	YFR040W
NM_001180006.3	YFR041C
NM_001180007.1	YFR042W
NM_001180008.3	YFR043C
NM_001180009.1	YFR044C
NM_001180010.3	YFR045W
NM_001180011.1	YFR046C
NM_001180012.3	YFR047C
NM_001180013.1	YFR048W
NM_001180014.3	YFR049W
NM_001180015.1	YFR050C
NM_001180016.3	YFR051C
NM_001180017.1	YFR052W
NM_001180018.3	YFR053C
NM_001348833.1	YFR054C
NM_001180021.1	YFR055W
NM_001180022.3	YFR057W
NM_001181129.1	YGL263W
NM_001181128.1	YGL262W
NM_001181127.1	YGL261C
NM_001181126.1	YGL260W
NM_001181125.1	YGL259W
NM_001184473.1	YGL258W-A
NM_001181124.1	YGL258W
NM_001181123.1	YGL257C
NM_001181122.1	YGL256W
NR_188205.1	YNCG0047C
NM_001181121.1	YGL255W
NM_001181120.1	YGL254W
NM_001181119.1	YGL253W
NM_001181118.1	YGL252C
NM_001181117.1	YGL251C
NM_001181116.1	YGL250W
NM_001181115.1	YGL249W
NR_132176.1	YNCG0001C
NM_001181114.1	YGL248W
NM_001181113.1	YGL247W
NM_001181112.1	YGL246C
NM_001181111.1	YGL245W
NM_001181110.1	YGL244W
NM_001181109.1	YGL243W
NM_001181108.1	YGL242C
NM_001181107.1	YGL241W
NM_001181106.1	YGL240W
NM_001181104.1	YGL238W
NM_001181103.1	YGL237C
NM_001181102.1	YGL236C
NM_001181101.1	YGL235W
NM_001181100.1	YGL234W
NM_001181099.1	YGL233W
NM_001181098.1	YGL232W
NM_001181097.1	YGL231C
NM_001181096.1	YGL230C
NM_001181095.1	YGL229C
NM_001181094.1	YGL228W
NM_001181093.1	YGL227W
NM_001181091.1	YGL226C-A
NM_001181092.1	YGL226W
unassigned_transcript_92	YNCG0002C
NM_001181090.1	YGL225W
NM_001181089.1	YGL224C
NM_001181088.1	YGL223C
NM_001181087.1	YGL222C
NM_001181086.1	YGL221C
NM_001181085.1	YGL220W
NM_001181084.1	YGL219C
NM_001181081.1	YGL216W
NM_001181080.1	YGL215W
NM_001181078.1	YGL213C
NM_001181077.1	YGL212W
NM_001181076.1	YGL211W
NM_001181075.1	YGL210W
NM_001181074.1	YGL209W
NM_001181073.2	YGL208W
NM_001181072.1	YGL207W
NM_001181071.1	YGL206C
NM_001181070.1	YGL205W
unassigned_transcript_93	YNCG0003C
NM_001270746.1	YGL204C
NM_001181068.1	YGL203C
unassigned_transcript_94	YNCG0004W
NM_001181067.1	YGL202W
NM_001181066.1	YGL201C
unassigned_transcript_95	YNCG0005W
NM_001181065.3	YGL200C
NM_001181063.1	YGL198W
NM_001181062.2	YGL197W
NM_001181061.1	YGL196W
NM_001181060.3	YGL195W
NM_001184677.1	YGL194C-A
NM_001181059.1	YGL194C
NR_132177.1	YNCG0006C
NM_001181058.1	YGL193C
NM_001181057.3	YGL192W
NM_001181056.1	YGL191W
NM_001181055.1	YGL190C
NM_001181054.1	YGL189C
NM_001184593.3	YGL188C-A
NM_001181052.1	YGL187C
NM_001181051.1	YGL186C
NM_001181050.1	YGL185C
NM_001181049.3	YGL184C
NM_001181048.1	YGL183C
NM_001181046.1	YGL181W
NM_001181045.1	YGL180W
NM_001181044.3	YGL179C
NM_001181043.1	YGL178W
NM_001181041.1	YGL176C
NM_001181040.1	YGL175C
NM_001181039.3	YGL174W
NM_001181038.1	YGL173C
NM_001181037.1	YGL172W
NM_001181036.1	YGL171W
NM_001181035.3	YGL170C
unassigned_transcript_96	YNCG0007C
NM_001181034.1	YGL169W
NM_001181033.1	YGL168W
NM_001181032.1	YGL167C
NM_001181031.3	YGL166W
NM_001181029.1	YGL164C
NM_001181028.1	YGL163C
NM_001181027.1	YGL162W
NM_001181026.3	YGL161C
NM_001181025.1	YGL160W
NM_001181024.1	YGL159W
unassigned_transcript_97	YNCG0008W
NM_001181023.1	YGL158W
NM_001181022.3	YGL157W
NM_001181021.1	YGL156W
NM_001181020.1	YGL155W
NM_001181019.1	YGL154C
NM_001181018.3	YGL153W
NM_001181016.1	YGL151W
NM_001181015.1	YGL150C
NM_001348834.1	YGL149W
NM_001181013.1	YGL148W
NM_001181012.3	YGL147C
NM_001181011.1	YGL146C
NM_001181010.2	YGL145W
NM_001181009.1	YGL144C
NM_001181008.3	YGL143C
NM_001181007.1	YGL142C
NM_001181006.1	YGL141W
NM_001181005.1	YGL140C
NM_001181004.3	YGL139W
NM_001181003.1	YGL138C
NM_001181002.1	YGL137W
NM_001181001.1	YGL136C
NM_001181000.3	YGL135W
NM_001180999.1	YGL134W
NM_001180998.1	YGL133W
NM_001180996.1	YGL131C
NM_001180995.3	YGL130W
NM_001180994.2	YGL129C
NM_001180993.1	YGL128C
NM_001180992.1	YGL127C
NM_001180991.3	YGL126W
NM_001180990.1	YGL125W
NM_001180989.2	YGL124C
NM_001180988.1	YGL123W
NM_001180987.3	YGL122C
NM_001180986.1	YGL121C
NM_001180985.1	YGL120C
NM_001180984.1	YGL119W
unassigned_transcript_98	YNCG0009C
NM_001348835.1	YGL118C
NM_001180982.3	YGL117W
NM_001180981.1	YGL116W
NM_001180980.1	YGL115W
NM_001180979.1	YGL114W
NM_001180978.3	YGL113W
NM_001180977.1	YGL112C
NM_001180976.1	YGL111W
NM_001180975.1	YGL110C
NM_001180973.3	YGL108C
NM_001180972.1	YGL107C
NM_001180971.1	YGL106W
NM_001180970.1	YGL105W
NM_001180969.3	YGL104C
NM_001180968.1	YGL103W
NM_001180966.1	YGL101W
NM_001180965.1	YGL100W
NM_001180964.3	YGL099W
NR_132178.1	YNCG0010W
NM_001180963.1	YGL098W
unassigned_transcript_99	YNCG0011W
NM_001180962.1	YGL097W
NM_001180961.1	YGL096W
unassigned_transcript_100	YNCG0012W
NM_001180960.3	YGL095C
NM_001180959.1	YGL094C
NM_001180958.1	YGL093W
NM_001180957.1	YGL092W
NM_001180956.3	YGL091C
NM_001180955.1	YGL090W
NM_001180954.1	YGL089C
NM_001348836.1	YGL088W
NR_132179.1	YNCG0013W
NM_001180952.1	YGL087C
NM_001180951.3	YGL086W
NM_001180950.1	YGL085W
NM_001180949.1	YGL084C
NM_001180948.1	YGL083W
NM_001180947.3	YGL082W
NM_001180946.1	YGL081W
NM_001180945.1	YGL080W
NM_001180944.1	YGL079W
NM_001180943.3	YGL078C
NM_001180942.1	YGL077C
NM_001180941.1	YGL076C
NR_132180.1	YNCG0014C
NR_132181.1	YNCG0015C
NM_001180940.1	YGL075C
NM_001180938.3	YGL073W
NM_001180936.1	YGL071W
NM_001180935.1	YGL070C
NM_001180933.1	YGL068W
NM_001180932.3	YGL067W
NM_001180931.1	YGL066W
NM_001180930.1	YGL065C
NM_001180929.1	YGL064C
NM_001180928.4	YGL063W
NM_001180927.1	YGL062W
NM_001180926.1	YGL061C
NM_001180925.1	YGL060W
NM_001180924.4	YGL059W
NM_001180923.1	YGL058W
NM_001180922.1	YGL057C
NM_001180921.2	YGL056C
NM_001180920.3	YGL055W
NM_001180919.1	YGL054C
unassigned_transcript_101	YNCG0016C
NM_001180918.1	YGL053W
NM_001180916.1	YGL051W
unassigned_transcript_102	YNCG0017W
NM_001180915.3	YGL050W
NM_001180914.1	YGL049C
NM_001180913.1	YGL048C
NM_001180912.1	YGL047W
unassigned_transcript_103	YNCG0018C
NM_001180910.3	YGL045W
NM_001180909.1	YGL044C
NM_001180908.1	YGL043W
NM_001184550.1	YGL041C-B
NM_001184647.4	YGL041W-A
NM_001180905.1	YGL040C
unassigned_transcript_104	YNCG0019W
NM_001180904.1	YGL039W
NM_001180903.1	YGL038C
NM_001180902.3	YGL037C
NM_001180901.1	YGL036W
NM_001180900.1	YGL035C
NM_001348837.1	YGL034C
NM_001180898.2	YGL033W
NM_001180897.3	YGL032C
NM_001180896.1	YGL031C
NM_001180895.1	YGL030W
NM_001180894.1	YGL029W
unassigned_transcript_105	YNCG0020C
NM_001180893.3	YGL028C
NM_001180892.1	YGL027C
NM_001180891.1	YGL026C
NM_001180890.1	YGL025C
NM_001180888.3	YGL023C
NM_001180887.1	YGL022W
NM_001180886.1	YGL021W
NM_001180885.1	YGL020C
NM_001180884.3	YGL019W
NM_001180883.1	YGL018C
NM_001180882.1	YGL017W
NM_001180881.1	YGL016W
NM_001180880.3	YGL015C
NM_001180879.1	YGL014W
NM_001180878.1	YGL013C
NM_001180877.1	YGL012W
NM_001180876.3	YGL011C
NM_001180875.1	YGL010W
NM_001180874.1	YGL009C
NM_001180873.1	YGL008C
NM_001184592.3	YGL007C-A
NM_001348838.1	YGL007W
NM_001184634.1	YGL006W-A
NM_001180871.1	YGL006W
NM_001180870.1	YGL005C
NM_001180869.3	YGL004C
NM_001180868.1	YGL003C
NM_001180867.1	YGL002W
NM_001180866.1	YGL001C
NM_001181130.3	YGR001C
NM_001181131.1	YGR002C
NM_001181132.1	YGR003W
NM_001181133.1	YGR004W
NM_001181134.3	YGR005C
NM_001181135.1	YGR006W
NM_001181136.1	YGR007W
NM_001181137.1	YGR008C
NM_001181138.3	YGR009C
NM_001181139.1	YGR010W
NM_001181141.1	YGR012W
NM_001181142.1	YGR013W
NM_001181143.3	YGR014W
NM_001181144.1	YGR015C
NM_001181145.1	YGR016W
NM_001431139.1	YGR016C-A
NM_001181146.1	YGR017W
NM_001270747.1	YGR018C
NM_001181148.3	YGR019W
NM_001181149.1	YGR020C
NM_001181150.1	YGR021W
NM_001181152.1	YGR023W
unassigned_transcript_106	YNCG0021W
NM_001181153.3	YGR024C
NM_001348839.1	YGR025W
NM_001181155.3	YGR026W
NM_001181156.1	YGR027C
NM_001184432.2	YGR027W-B
NM_001184431.1	YGR027W-A
unassigned_transcript_107	YNCG0022W
NM_001181157.3	YGR028W
NM_001181158.3	YGR029W
unassigned_transcript_108	YNCG0023C
NR_132182.1	YNCG0024W
NM_001181159.1	YGR030C
NM_001181160.1	YGR031W
NM_001184658.1	YGR031C-A
NM_001181161.3	YGR032W
NM_001181162.3	YGR033C
NM_001181163.1	YGR034W
NM_001181164.1	YGR035C
NM_001184648.1	YGR035W-A
NM_001181165.3	YGR036C
NM_001181166.3	YGR037C
NM_001181167.1	YGR038W
unassigned_transcript_109	YNCG0025C
NM_001184434.2	YGR038C-B
NM_001184433.1	YGR038C-A
NM_001348840.1	YGR039W
NM_001181169.3	YGR040W
NM_001181170.3	YGR041W
NM_001181171.1	YGR042W
NM_001181172.1	YGR043C
NM_001181173.1	YGR044C
NM_001348841.1	YGR045C
NM_001181175.3	YGR046W
NM_001181176.3	YGR047C
NM_001181177.1	YGR048W
NM_001181178.1	YGR049W
NM_001270748.1	YGR050C
NM_001181181.1	YGR052W
NM_001181182.3	YGR053C
NM_001181183.4	YGR054W
NM_001181184.1	YGR055W
NM_001181185.1	YGR056W
NM_001181186.3	YGR057C
NM_001181187.2	YGR058W
NM_001181188.3	YGR059W
NR_132183.1	YNCG0026W
NM_001181189.3	YGR060W
NM_001181190.1	YGR061C
NM_001181191.1	YGR062C
NM_001181192.3	YGR063C
NM_001181194.1	YGR065C
NM_001181195.3	YGR066C
NM_001181196.4	YGR067C
NM_001181197.1	YGR068C
NM_001181199.2	YGR070W
NM_001181200.3	YGR071C
NM_001181201.1	YGR072W
NM_001181203.3	YGR074W
NM_001181204.3	YGR075C
NM_001181205.1	YGR076C
NM_001181206.1	YGR077C
NM_001181207.3	YGR078C
NM_001181208.1	YGR079W
NM_001181209.3	YGR080W
NM_001181210.3	YGR081C
NM_001181211.1	YGR082W
NM_001181212.1	YGR083C
NM_001181213.3	YGR084C
NM_001181214.1	YGR085C
NM_001181215.3	YGR086C
NR_188206.1	YNCG0048W
NM_001181216.3	YGR087C
NM_001181217.1	YGR088W
NM_001181218.1	YGR089W
NR_188207.1	YNCG0049W
unassigned_transcript_110	YNCG0027W
NM_001181219.3	YGR090W
NM_001181220.1	YGR091W
NM_001181221.3	YGR092W
NM_001181222.3	YGR093W
NM_001181223.1	YGR094W
NM_001181224.1	YGR095C
NM_001181225.3	YGR096W
NM_001181226.1	YGR097W
NM_001181227.3	YGR098C
NM_001181228.3	YGR099W
NM_001181229.1	YGR100W
NM_001181230.1	YGR101W
NM_001181231.3	YGR102C
NM_001181232.1	YGR103W
NM_001181233.3	YGR104C
NM_001181234.3	YGR105W
NM_001181235.1	YGR106C
unassigned_transcript_111	YNCG0028W
unassigned_transcript_112	YNCG0029C
NM_001181237.1	YGR108W
NM_001181238.3	YGR109C
unassigned_transcript_113	YNCG0030C
NM_001184381.2	YGR109W-B
NM_001184380.3	YGR109W-A
NM_001181239.3	YGR110W
NM_001181240.1	YGR111W
NM_001181241.1	YGR112W
NM_001181242.3	YGR113W
NM_001181245.1	YGR116W
NM_001181246.3	YGR117C
NM_001181247.3	YGR118W
NM_001181248.1	YGR119C
NM_001181249.1	YGR120C
unassigned_transcript_114	YNCG0031W
NM_001181250.3	YGR121C
NM_001184551.1	YGR121W-A
NM_001181251.3	YGR122W
unassigned_transcript_115	YNCG0032W
NM_001181252.3	YGR123C
unassigned_transcript_116	YNCG0033W
NM_001181253.1	YGR124W
NM_001181254.1	YGR125W
NM_001181255.3	YGR126W
NM_001181256.1	YGR127W
NM_001181257.3	YGR128C
NM_001181258.3	YGR129W
NM_001181259.1	YGR130C
NM_001181260.1	YGR131W
NM_001181261.3	YGR132C
NM_001181262.1	YGR133W
NM_001181263.3	YGR134W
NM_001181264.3	YGR135W
NM_001181265.1	YGR136W
NM_001181267.1	YGR138C
NM_001181269.3	YGR140W
NM_001181270.1	YGR141W
NM_001181271.3	YGR142W
unassigned_transcript_117	YNCG0034W
NM_001181272.3	YGR143W
unassigned_transcript_118	YNCG0035W
NM_001181273.1	YGR144W
NM_001181274.2	YGR145W
NM_001181275.3	YGR146C
NM_001184594.1	YGR146C-A
NM_001181276.3	YGR147C
NM_001181277.3	YGR148C
NM_001181278.1	YGR149W
NM_001181279.1	YGR150C
unassigned_transcript_119	YNCG0036W
NM_001181281.3	YGR152C
NM_001181282.2	YGR153W
NM_001181283.3	YGR154C
NM_001181284.3	YGR155W
NM_001181285.1	YGR156W
NM_001181286.1	YGR157W
NM_001181287.3	YGR158C
NM_001181288.1	YGR159C
NM_001181290.3	YGR161C
NM_001184675.3	YGR161W-C
NM_001184402.2	YGR161W-B
NM_001184401.1	YGR161W-A
NM_001184400.4	YGR161C-D
NM_001184399.1	YGR161C-C
unassigned_transcript_120	YNCG0037W
NM_001181291.3	YGR162W
NM_001181292.3	YGR163W
NM_001348843.1	YGR164W
unassigned_transcript_121	YNCG0038C
NM_001181294.1	YGR165W
NM_001181295.1	YGR166W
NM_001181296.3	YGR167W
NM_001181297.1	YGR168C
NM_001181298.3	YGR169C
NM_001184531.3	YGR169C-A
NM_001181299.1	YGR170W
NM_001181300.1	YGR171C
NM_001181301.3	YGR172C
NM_001181302.1	YGR173W
unassigned_transcript_122	YNCG0039W
NM_001181303.3	YGR174C
NM_001184595.3	YGR174W-A
NM_001181304.1	YGR175C
NM_001181306.1	YGR177C
NM_001181307.3	YGR178C
NM_001181308.1	YGR179C
NM_001181309.3	YGR180C
unassigned_transcript_123	YNCG0040C
NM_001181310.3	YGR181W
NM_001181312.1	YGR183C
NM_001181313.1	YGR184C
NM_001181314.3	YGR185C
NM_001181315.1	YGR186W
NM_001181316.3	YGR187C
NM_001181317.3	YGR188C
unassigned_transcript_124	YNCG0041W
NM_001181318.1	YGR189C
unassigned_transcript_125	YNCG0042C
NM_001181320.1	YGR191W
NM_001181321.3	YGR192C
NM_001181322.1	YGR193C
NM_001181323.3	YGR194C
NM_001181324.3	YGR195W
NM_001181325.1	YGR196C
NM_001181326.1	YGR197C
NM_001181327.3	YGR198W
NM_001181328.1	YGR199W
NM_001181329.3	YGR200C
NM_001181330.3	YGR201C
NM_001181331.1	YGR202C
NM_001181332.1	YGR203W
NM_001181333.3	YGR204W
NM_001184596.1	YGR204C-A
NM_001181334.3	YGR205W
NM_001181335.3	YGR206W
NM_001181336.1	YGR207C
NM_001181337.1	YGR208W
NM_001181338.3	YGR209C
NM_001181339.1	YGR210C
NM_001181340.3	YGR211W
NM_001181341.3	YGR212W
NM_001181342.1	YGR213C
NM_001181343.1	YGR214W
NM_001181344.3	YGR215W
NM_001181345.1	YGR216C
NM_001181346.3	YGR217W
unassigned_transcript_126	YNCG0043C
NM_001181347.3	YGR218W
NM_001181349.1	YGR220C
NM_001181350.2	YGR221C
NR_132184.1	YNCG0044C
NR_132185.1	YNCG0045C
NM_001181351.3	YGR222W
NM_001181352.1	YGR223C
NM_001181353.3	YGR224W
NM_001181354.3	YGR225W
NM_001181356.2	YGR227W
NM_001395731.1	YGR227C-A
NM_001181358.1	YGR229C
NM_001181359.3	YGR230W
NM_001181360.1	YGR231C
NM_001181361.3	YGR232W
NM_001181362.3	YGR233C
NM_001181363.1	YGR234W
NM_001181364.1	YGR235C
NM_001181365.3	YGR236C
NM_001181366.1	YGR237C
NM_001181367.3	YGR238C
NM_001181368.3	YGR239C
NM_001181369.1	YGR240C
NM_001184552.1	YGR240C-A
NM_001181370.3	YGR241C
NM_001181372.1	YGR243W
NM_001181373.3	YGR244C
NM_001181374.3	YGR245C
NM_001181375.1	YGR246C
NM_001181376.1	YGR247W
NM_001181377.3	YGR248W
NM_001181378.1	YGR249W
NM_001181379.3	YGR250C
NM_001181380.3	YGR251W
NM_001181381.1	YGR252W
NM_001181382.1	YGR253C
NM_001181383.3	YGR254W
NM_001181384.1	YGR255C
unassigned_transcript_127	YNCG0046W
NM_001181385.3	YGR256W
NM_001181386.3	YGR257C
NM_001181387.1	YGR258C
NM_001181389.1	YGR260W
NM_001181390.3	YGR261C
NM_001181391.1	YGR262C
NM_001181392.3	YGR263C
NM_001181393.3	YGR264C
NM_001181395.1	YGR266W
NM_001181396.1	YGR267C
NM_001181397.3	YGR268C
NM_001181399.1	YGR270W
NM_001181400.4	YGR271W
NM_001184474.3	YGR271C-A
NM_001181402.1	YGR273C
NM_001181403.2	YGR274C
NM_001181404.3	YGR275W
NM_001181405.1	YGR276C
NM_001181406.3	YGR277C
NM_001181407.3	YGR278W
NM_001181408.1	YGR279C
NM_001181409.1	YGR280C
NM_001181410.3	YGR281W
NM_001181411.1	YGR282C
NM_001181412.3	YGR283C
NM_001181413.3	YGR284C
NM_001181414.1	YGR285C
NM_001181415.1	YGR286C
NM_001181416.3	YGR287C
NM_001181417.1	YGR288W
NM_001181418.3	YGR289C
NM_001181421.3	YGR292W
NM_001181423.1	YGR294W
NM_001181424.1	YGR295C
NM_001181425.3	YGR296W
NM_001179130.1	YHL050C
NM_001179129.1	YHL049C
NM_001184650.1	YHL048C-A
NM_001179128.1	YHL048W
NM_001179127.2	YHL047C
NM_001179126.1	YHL046C
NM_001416099.1	YHL045W
NM_001179124.1	YHL044W
NM_001179123.1	YHL043W
NM_001179122.1	YHL042W
NM_001348807.1	YHL041W
NM_001179120.1	YHL040C
NM_001179119.1	YHL039W
NM_001179118.1	YHL038C
NM_001348812.1	YHL037C
NM_001179116.1	YHL036W
NM_001179115.1	YHL035C
NM_001179114.1	YHL034C
NM_001179113.1	YHL033C
NM_001179112.1	YHL032C
NM_001179111.1	YHL031C
NM_001179110.1	YHL030W
NM_001179109.1	YHL029C
NM_001179108.1	YHL028W
NM_001179107.1	YHL027W
NM_001179106.1	YHL026C
NM_001179105.1	YHL025W
NM_001179104.1	YHL024W
NM_001179103.1	YHL023C
unassigned_transcript_128	YNCH0001W
NM_001179102.1	YHL022C
NM_001179101.1	YHL021C
NM_001179100.1	YHL020C
NM_001179099.1	YHL019C
NM_001179098.1	YHL018W
NM_001179097.1	YHL017W
NM_001179096.1	YHL016C
NM_001184649.1	YHL015W-A
NM_001179095.1	YHL015W
NM_001179094.1	YHL014C
NM_001179093.1	YHL013C
NM_001179092.1	YHL012W
NM_001179091.1	YHL011C
NM_001179090.1	YHL010C
NM_001179089.1	YHL009C
unassigned_transcript_129	YNCH0002C
NM_001184404.2	YHL009W-B
NM_001184403.1	YHL009W-A
NM_001179088.1	YHL008C
NM_001179087.1	YHL007C
NM_001179086.1	YHL006C
NM_001348872.1	YHL005C
NM_001179084.1	YHL004W
NM_001179083.1	YHL003C
NM_001179082.1	YHL002W
NM_001179081.1	YHL001W
NM_001179131.1	YHR001W
NM_001181426.1	YHR001W-A
NM_001179132.1	YHR002W
NM_001179133.1	YHR003C
NM_001179134.1	YHR004C
NM_001179135.1	YHR005C
NM_001181427.1	YHR005C-A
unassigned_transcript_130	YNCH0003C
NM_001179136.1	YHR006W
NM_001179137.1	YHR007C
NM_001184651.1	YHR007C-A
NM_001179138.1	YHR008C
NM_001179139.1	YHR009C
NM_001179140.1	YHR010W
NM_001179141.1	YHR011W
NM_001179142.1	YHR012W
NM_001179143.1	YHR013C
NM_001179144.1	YHR014W
unassigned_transcript_131	YNCH0004C
unassigned_transcript_132	YNCH0005W
NM_001179145.1	YHR015W
NM_001179146.1	YHR016C
NM_001179147.1	YHR017W
NM_001179148.1	YHR018C
NM_001179149.1	YHR019C
NM_001179150.1	YHR020W
unassigned_transcript_133	YNCH0006C
NM_001179151.1	YHR021C
NM_001181428.1	YHR021W-A
NM_001179152.1	YHR022C
NM_001184597.1	YHR022C-A
NM_001179153.1	YHR023W
NM_001179154.1	YHR024C
NM_001179155.1	YHR025W
NM_001179156.1	YHR026W
NM_001179157.1	YHR027C
NM_001179158.1	YHR028C
NM_001179159.1	YHR029C
NM_001179160.1	YHR030C
NM_001179161.1	YHR031C
NM_001179162.1	YHR032W
NM_001179163.1	YHR033W
NM_001179164.1	YHR034C
NM_001179165.1	YHR035W
NM_001179166.1	YHR036W
NM_001179167.1	YHR037W
NM_001179168.1	YHR038W
NM_001179169.1	YHR039C
NM_001180027.1	YHR039C-A
NM_001179170.1	YHR040W
NM_001179171.1	YHR041C
NM_001179172.1	YHR042W
NM_001179173.1	YHR043C
NM_001179174.1	YHR044C
NM_001179175.1	YHR045W
NM_001179176.1	YHR046C
NM_001179177.1	YHR047C
NM_001179178.1	YHR048W
NM_001179179.1	YHR049W
NM_001179180.1	YHR050W
NM_001184652.1	YHR050W-A
NM_001179181.1	YHR051W
NM_001179182.1	YHR052W
NR_132186.1	YNCH0007W
NM_001395031.1	YHR052C-B
NM_001179185.1	YHR053C
NM_001179184.1	YHR054C
NR_132187.1	YNCH0008W
NM_001395032.1	YHR054C-B
NM_001179183.1	YHR055C
NM_001179186.2	YHR056C
NM_001179187.1	YHR057C
NM_001179188.1	YHR058C
NM_001179189.1	YHR059W
NM_001179190.1	YHR060W
NM_001179191.1	YHR061C
NM_001179192.1	YHR062C
NM_001179193.1	YHR063C
NM_001179194.1	YHR064C
NM_001179195.1	YHR065C
NM_001179196.1	YHR066W
NM_001179197.1	YHR067W
NM_001179198.1	YHR068W
NM_001179199.1	YHR069C
NM_001179200.1	YHR070W
NM_001179201.1	YHR071W
unassigned_transcript_134	YNCH0009C
NM_001179202.2	YHR072W
NM_001184438.1	YHR072W-A
NM_001179203.1	YHR073W
NM_001179204.1	YHR074W
NM_001179205.1	YHR075C
NM_001179206.1	YHR076W
NM_001179207.1	YHR077C
NM_001179208.1	YHR078W
NM_001179209.1	YHR079C
NM_001180026.1	YHR079C-A
NM_001179210.1	YHR080C
NM_001179211.1	YHR081W
NM_001179212.1	YHR082C
NM_001179213.1	YHR083W
NM_001179214.1	YHR084W
NM_001179215.1	YHR085W
NM_001179216.1	YHR086W
NM_001184553.1	YHR086W-A
NM_001179217.1	YHR087W
NM_001179218.1	YHR088W
NM_001179219.1	YHR089C
NM_001179220.1	YHR090C
NM_001179221.1	YHR091C
NM_001179222.2	YHR092C
NM_001348818.1	YHR093W
NM_001179224.1	YHR094C
NM_001179226.1	YHR096C
NM_001179227.1	YHR097C
NM_001179228.1	YHR098C
